_S036_EU5_BMS(){
:DTC
001122 [P001122]无定义;
11D144 [P11D144]BCU-EEPROM读写故障;
11D213 [P11D213]预充电断路;
11D329 [P11D329]内部总电压检测电路故障(V1);
11D429 [P11D429]外部总电压检测电路故障(V2);
11D574 [P11D574]正端继电器驱动通道故障;
11D674 [P11D674]预充电继电器驱动通道故障;
11D729 [P11D729]绝缘检测电路故障;
11D829 [P11D829]总电流检测电路故障;
120262 [P120262]子板工作模式响应异常;
12051C [P12051C]BMS低压供电电源异常故障;
121144 [P121144]子板EEPROM读写故障;
121229 [P121229]子板单体电压采集电路故障(单子板);
121329 [P121329]子板模组电压采集电路故障;
121429 [P121429]子板温度采集电路故障(单通道);
121574 [P121574]子板主动均衡通道故障;
121674 [P121674]子板被动均衡通道故障;
121782 [P121782]子板VBU/BMS节点通讯丢失;
121C01 [P121C01]动力蓄电池过充故障;
121D21 [P121D21]电池包分包欠压;
121D22 [P121D22]电池包分包过压;
121E21 [P121E21]电池包分包欠压;
121E22 [P121E22]电池包分包过压;
121F21 [P121F21]电池包分包欠压;
121F22 [P121F22]电池包分包过压;
122001 [P122001]预充电失败;
122184 [P122184]SOH过低1级;
123C54 [P123C54]主板与丛板ID不匹配(维修检查建议:一般是更换丛板与主板ID不一致)(仅供参考);
12F929 [P12F929]子板单体电压采集电路故障(多子板);
12FA29 [P12FA29]子板温度采集电路故障(多通道);
13101C [P13101C]直流充电插座温度传感器1故障;
13111C [P13111C]直流充电插座温度传感器2故障;
13124B [P13124B]直流充电插座过温故障;
13154B [P13154B]交流充电插座过温故障;
C07388 [U007388]总线关闭(预留);
C11087 [U011087]与MCU通讯丢失;
C11287 [U011287]与CMU通讯丢失故障;
C14087 [U014087]与BCM通讯丢失故障;
C25387 [U025387]BMS与车载充电机通讯故障;
C25482 [U025482]电池系统内部通讯故障(单通道);
C25582 [U025582](高压板)VBU/VCU节点通讯丢失;
C25687 [U025687]与RMS通讯丢失故障;
C25887 [U025887]与ICM通讯丢失故障;
C26087 [U026087]与EHU通讯丢失故障;
C29887 [U029887]与DCDC通讯丢失故障;
D04187 [U104187]VCU与租赁车机通讯丢失故障;
D10087 [U110087]MCU与ESK通讯丢失故障;
D19982 [U119982]电池系统内部通讯故障(多通道);
F00316 [U300316]蓄电池电压低;
F00317 [U300317]蓄电池电压高;
:END}


_S001_WTM_DY_BMS_1(){   //1字节编码
:DTC
0001 [01]三级故障-电池温度过高(最高点≥温度上限(65℃));
0002 [02]三级故障-绝缘故障(绝缘电阻≤100/V);
0003 [03]三级故障-单体电压过高(单体最高≥上限切断值(3.85V));
0004 [04]三级故障-单体电压过低(单体最低≤下限切断值(常温2.5V));
0005 [05]三级故障-总压过高(总电压≥控制高点+0.2*串数);
0006 [06]三级故障-总压过低(总电压≤控制低点-0.2*串数);
0007 [07]三级故障-充电电流过大(总电流≥充电电流*1.3);
0008 [08]三级故障-放电电流过大(a.总电流≥峰值最大放电电流*1.25(3s) b.总电流≥持续最大放电电流(5s);
0009 [09]三级故障-回馈电流过大(回馈电流≥最大回馈电流*1.2);
0010 [0A]三级故障-SOC过低(≤10%(SOC报警下限-10%));
0011 [0B]三级故障-高压连接器故障(温度≥105℃);
0012 [0C]三级故障-压差过大;
0013 [0D]三级故障-电池温度过低;
0014 [0E]三级故障-温差过大;
0015 [0F]三级故障-预充失败;
0016 [10]三级故障-电池异常保护;
0017 [11]三级故障-VCU离线;
0018 [12]三级故障-ON档信号消失;
0019 [13]三级故障-快充插头温度过高;
0020 [14]三级故障-慢充继电器粘连;
0021 [15]三级故障-附件继电器粘连;
0022 [16]三级故障-中间继电器粘连;
0023 [17]三级故障-快充继电器粘连;
0024 [18]三级故障-主负继电器粘连;
0025 [19]三级故障-主正继电器粘连;
0026 [1A]三级故障-加热继电器粘连;
0027 [1B]三级故障-加热时间过长;
0028 [1C]三级故障-加热过流;
0029 [1D]三级故障-离线故障;
0030 [1E]三级故障-高压异常;
0051 [33]二级故障-电池温度过高(最高点≥温度告警上限-2(63℃));
0052 [34]二级故障-绝缘故障(绝缘电阻≤300 Ω/V);
0053 [35]二级故障-单体电压过高(单体最高≥告警上限 +150mV(3.80V));
0054 [36]二级故障-单体电压过低(单体最低≤告警下限(常温2.8V));
0055 [37]二级故障-总电压过高(总电压≥控制高点+0.1*串数);
0056 [38]二级故障-总电压过低(总电压≤控制低点-0.1*串数);
0057 [39]二级故障-充电电流过大(总电流≥充电电流*1.25);
0058 [3A]二级故障-放电电流过大(1.总电流≥峰值最大放电电流*1.25(5s) 2.总电流≥持续最大放电电流(5s));
0059 [3B]二级故障-回馈电流过大(回馈电流≥最大回馈电流*1.15);
0060 [3C]二级故障-SOC过低(≤20%(SOC报警下限));
0061 [3D]二级故障-高压连接器故障(温度≥95℃);
0062 [3E]二级故障-绝缘模块故障(绝缘模块异常超过20S);
0063 [3F]二级故障-采集模块故障(采集模块异常超过20S);
0064 [40]二级故障-电池温度过低;
0065 [41]二级故障-压差过大;
0066 [42]二级故障-快充插头温度断线;
0067 [43]二级故障-快充插头温度过高;
0068 [44]二级故障-温差过大;
0101 [65]一级故障-电池温度过高(最高点≥温度报警上限-5(60℃));
0102 [66]一级故障-绝缘故障(绝缘电阻≤500 Ω/V);
0103 [67]一级故障-单体电压过高(＞上限告警值(3.75V));
0104 [68]一级故障-单体电压过低(≤告警下限+200 mV(常温3V));
0105 [69]一级故障-总电压过高(总电压≥控制高点);
0106 [6A]一级故障-总电压过低(总电压≤控制低点);
0107 [6B]一级故障-充电电流过大(总电流≥充电电流×1.2);
0108 [6C]一级故障-放电电流过大(1.总电流≥峰值最大放电电流*1.15(5s) 2.总电流≥持续最大放电电流(最大持续时间));
0109 [6D]一级故障-回馈电流过大(回馈电流≥最大回馈电流×1.1);
0110 [6E]一级故障-SOC过低(≤SOC报警下限+10%(30%));
0111 [6F]一级故障-高压连接器故障(温度≥85℃);
0112 [70]一级故障-电池温度过低;
0113 [71]一级故障-压差过大;
0114 [72]一级故障-快充插头温度断线;
0115 [73]一级故障-温差过大;
:END}
